#__assets,parent_id,['ASC'],False
#__associations,id,"['int', 'NOT NULL']",True
#__associations,context,"['nvarchar(50)', 'NOT NULL']",False
#__associations,[PRIMARY],"['nchar(32)', 'NOT NULL']",False
#__banners,created_by,['ASC'],False
#__banner_clients,own_prefix,['ASC'],False
#__banner_tracks,track_type,['ASC'],False
#__categories,asset_id,['ASC'],False
#__contact_details,xreference,['ASC'],False
#__content,xreference,['ASC'],False
#__content_frontpage,content_id,"['int', 'NOT NULL', 'DEFAULT', '0']",True
#__content_frontpage,[PRIMARY],"['int', 'NOT NULL', 'DEFAULT', '0']",True
#__content_rating,content_id,"['int', 'NOT NULL', 'DEFAULT', '0']",True
#__content_rating,rating_sum,"['bigint', 'NOT NULL', 'DEFAULT', '0']",True
#__content_rating,rating_count,"['bigint', 'NOT NULL', 'DEFAULT', '0']",True
#__content_rating,[PRIMARY],"['nvarchar(50)', 'NOT NULL', 'DEFAULT', ""''""]",False
#__content_types,type_alias,['ASC'],False
#__contentitem_tag_map,core_content_id,['ASC'],False
#__core_log_searches,search_term,"['nvarchar(128)', 'NOT NULL', 'DEFAULT', ""''""]",False
#__core_log_searches,hits,"['bigint', 'NOT NULL', 'DEFAULT', '0']",True
#__extensions,type,['ASC'],False
#__extensions,element,['ASC'],False
#__extensions,folder,['ASC'],False
#__extensions,client_id,['ASC'],False
#__fields,language,['ASC'],False
#__fields_categories,field_id,"['int', 'NOT NULL', 'DEFAULT', '0']",True
#__fields_categories,[PRIMARY],"['int', 'NOT NULL', 'DEFAULT', '0']",True
#__fields_groups,language,['ASC'],False
#__fields_values,item_id,['ASC'],False
#__finder_filters,filter_id,"['bigint', 'IDENTITY(1,1)', 'NOT NULL']",True
#__finder_filters,title,"['nvarchar(255)', 'NOT NULL']",False
#__finder_filters,alias,"['nvarchar(255)', 'NOT NULL']",False
#__finder_filters,state,"['smallint', 'NOT NULL', 'DEFAULT', '1']",True
#__finder_filters,created,"['datetime2(0)', 'NOT NULL', 'DEFAULT', ""'1900-01-01 00:00:00'""]",True
#__finder_filters,created_by,"['bigint', 'NOT NULL']",True
#__finder_filters,created_by_alias,"['nvarchar(255)', 'NOT NULL']",False
#__finder_filters,modified,"['datetime2(0)', 'NOT NULL', 'DEFAULT', ""'1900-01-01 00:00:00'""]",True
#__finder_filters,modified_by,"['bigint', 'NOT NULL', 'DEFAULT', '0']",True
#__finder_filters,checked_out,"['bigint', 'NOT NULL', 'DEFAULT', '0']",True
#__finder_filters,checked_out_time,"['datetime2(0)', 'NOT NULL', 'DEFAULT', ""'1900-01-01 00:00:00'""]",True
#__finder_filters,map_count,"['bigint', 'NOT NULL', 'DEFAULT', '0']",True
#__finder_filters,data,"['nvarchar(max)', 'NOT NULL']",False
#__finder_filters,[PRIMARY],"['nvarchar(max)', 'NULL']",False
#__finder_links,url,['ASC'],False
#__finder_links_terms0,term_id,['ASC'],False
#__finder_links_terms0,weight,['ASC'],False
#__finder_links_terms1,term_id,['ASC'],False
#__finder_links_terms1,weight,['ASC'],False
#__finder_links_terms2,term_id,['ASC'],False
#__finder_links_terms2,weight,['ASC'],False
#__finder_links_terms3,term_id,['ASC'],False
#__finder_links_terms3,weight,['ASC'],False
#__finder_links_terms4,term_id,['ASC'],False
#__finder_links_terms4,weight,['ASC'],False
#__finder_links_terms5,term_id,['ASC'],False
#__finder_links_terms5,weight,['ASC'],False
#__finder_links_terms6,term_id,['ASC'],False
#__finder_links_terms6,weight,['ASC'],False
#__finder_links_terms7,term_id,['ASC'],False
#__finder_links_terms7,weight,['ASC'],False
#__finder_links_terms8,term_id,['ASC'],False
#__finder_links_terms8,weight,['ASC'],False
#__finder_links_terms9,term_id,['ASC'],False
#__finder_links_terms9,weight,['ASC'],False
#__finder_links_termsa,term_id,['ASC'],False
#__finder_links_termsa,weight,['ASC'],False
#__finder_links_termsb,term_id,['ASC'],False
#__finder_links_termsb,weight,['ASC'],False
#__finder_links_termsc,term_id,['ASC'],False
#__finder_links_termsc,weight,['ASC'],False
#__finder_links_termsd,term_id,['ASC'],False
#__finder_links_termsd,weight,['ASC'],False
#__finder_links_termse,term_id,['ASC'],False
#__finder_links_termse,weight,['ASC'],False
#__finder_links_termsf,term_id,['ASC'],False
#__finder_links_termsf,weight,['ASC'],False
#__finder_taxonomy,state,['ASC'],False
#__finder_taxonomy_map,node_id,['ASC'],False
#__finder_terms,term,['ASC'],False
#__finder_terms,phrase,['ASC'],False
#__finder_terms_common,term,['ASC'],False
#__finder_terms_common,language,['ASC'],False
#__finder_tokens,term,['ASC'],False
#__finder_tokens_aggregate,term,['ASC'],False
#__finder_types,id,"['bigint', 'IDENTITY(1,1)', 'NOT NULL']",True
#__finder_types,title,"['nvarchar(100)', 'NOT NULL']",False
