30064771112,CALL,-1,,$x = getX(),,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,4,,,ANY
30064771113,CALL,2,,getX(),,STATIC_DISPATCH,getX,3,getX,getX,2,,<unresolvedSignature>(0),ANY
30064771114,CALL,-1,,$y = getY(),,STATIC_DISPATCH,,4,<operator>.assignment,<operator>.assignment,5,,,ANY
30064771115,CALL,2,,getY(),,STATIC_DISPATCH,getY,4,getY,getY,2,,<unresolvedSignature>(0),ANY
30064771116,CALL,-1,,echo $x . $y,,STATIC_DISPATCH,echo,5,echo,echo,6,,,ANY
30064771117,CALL,1,,$x . $y,,STATIC_DISPATCH,,5,<operator>.concat,<operator>.concat,1,,,ANY
30064771118,CALL,-1,,print($y),,STATIC_DISPATCH,print,6,print,print,7,,,int
30064771119,CALL,-1,,"$x = ""admin""",,STATIC_DISPATCH,,2,<operator>.assignment,<operator>.assignment,4,,,ANY
30064771120,CALL,-1,,"$y = $_GET[""username""]",,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,5,,,ANY
30064771121,CALL,2,,"$_GET[""username""]",,STATIC_DISPATCH,,3,<operator>.indexAccess,<operator>.indexAccess,2,,,ANY
30064771122,CALL,-1,,"fopen($x . "".php"")",,STATIC_DISPATCH,fopen,4,fopen,fopen,6,,<unresolvedSignature>(1),ANY
30064771123,CALL,1,,"$x . "".php""",,STATIC_DISPATCH,,4,<operator>.concat,<operator>.concat,1,,,ANY
30064771124,CALL,-1,,"fopen($y . ""php"")",,STATIC_DISPATCH,fopen,5,fopen,fopen,7,,<unresolvedSignature>(1),ANY
30064771125,CALL,1,,"$y . ""php""",,STATIC_DISPATCH,,5,<operator>.concat,<operator>.concat,1,,,ANY
30064771126,CALL,-1,,$x = 0,,STATIC_DISPATCH,,2,<operator>.assignment,<operator>.assignment,3,,,ANY
30064771127,CALL,-1,,$y = $x + 12,,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,4,,,ANY
30064771128,CALL,2,,$x + 12,,STATIC_DISPATCH,,3,<operator>.plus,<operator>.plus,2,,,ANY
30064771129,CALL,-1,,$x = $x + $y,,STATIC_DISPATCH,,4,<operator>.assignment,<operator>.assignment,5,,,ANY
30064771130,CALL,2,,$x + $y,,STATIC_DISPATCH,,4,<operator>.plus,<operator>.plus,2,,,ANY
30064771131,CALL,-1,,$x = 0,,STATIC_DISPATCH,,2,<operator>.assignment,<operator>.assignment,4,,,ANY
30064771132,CALL,-1,,"$y = $x + $_GET[""input""]",,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,5,,,ANY
30064771133,CALL,2,,"$x + $_GET[""input""]",,STATIC_DISPATCH,,3,<operator>.plus,<operator>.plus,2,,,ANY
30064771134,CALL,2,,"$_GET[""input""]",,STATIC_DISPATCH,,3,<operator>.indexAccess,<operator>.indexAccess,2,,,ANY
30064771135,CALL,-1,,$x = $x + $y,,STATIC_DISPATCH,,4,<operator>.assignment,<operator>.assignment,6,,,ANY
30064771136,CALL,2,,$x + $y,,STATIC_DISPATCH,,4,<operator>.plus,<operator>.plus,2,,,ANY
30064771137,CALL,-1,,"$y = ""INPUT: "" . $x",,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,2,,,ANY
30064771138,CALL,2,,"""INPUT: "" . $x",,STATIC_DISPATCH,,3,<operator>.concat,<operator>.concat,2,,,ANY
30064771139,CALL,-1,,$x = filter_input($y),,STATIC_DISPATCH,,4,<operator>.assignment,<operator>.assignment,3,,,ANY
30064771140,CALL,2,,filter_input($y),,STATIC_DISPATCH,filter_input,4,filter_input,filter_input,2,,<unresolvedSignature>(1),ANY
30064771141,CALL,-1,,"$x = $_GET[""input""] + "" .""",,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,3,,,ANY
30064771142,CALL,2,,"$_GET[""input""] + "" .""",,STATIC_DISPATCH,,3,<operator>.plus,<operator>.plus,2,,,ANY
30064771143,CALL,1,,"$_GET[""input""]",,STATIC_DISPATCH,,3,<operator>.indexAccess,<operator>.indexAccess,1,,,ANY
30064771144,CALL,-1,,$y = 12 * 24,,STATIC_DISPATCH,,7,<operator>.assignment,<operator>.assignment,2,,,ANY
30064771145,CALL,2,,12 * 24,,STATIC_DISPATCH,,7,<operator>.multiplication,<operator>.multiplication,2,,,ANY
30064771146,CALL,-1,,"$z = $_POST[""username""]",,STATIC_DISPATCH,,11,<operator>.assignment,<operator>.assignment,5,,,ANY
30064771147,CALL,2,,"$_POST[""username""]",,STATIC_DISPATCH,,11,<operator>.indexAccess,<operator>.indexAccess,2,,,ANY
30064771148,CALL,-1,,"$query = ""SELECT * FROM USERS WHERE ID = "" . $id . "" AND USERNAME = "" . $name . "" AND PASSWORD = "" . $psswd",,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,2,,,ANY
30064771149,CALL,2,,"""SELECT * FROM USERS WHERE ID = "" . $id . "" AND USERNAME = "" . $name . "" AND PASSWORD = "" . $psswd",,STATIC_DISPATCH,,3,<operator>.concat,<operator>.concat,2,,,ANY
30064771150,CALL,1,,"""SELECT * FROM USERS WHERE ID = "" . $id . "" AND USERNAME = "" . $name . "" AND PASSWORD = """,,STATIC_DISPATCH,,3,<operator>.concat,<operator>.concat,1,,,ANY
30064771151,CALL,1,,"""SELECT * FROM USERS WHERE ID = "" . $id . "" AND USERNAME = "" . $name",,STATIC_DISPATCH,,3,<operator>.concat,<operator>.concat,1,,,ANY
30064771152,CALL,1,,"""SELECT * FROM USERS WHERE ID = "" . $id . "" AND USERNAME = """,,STATIC_DISPATCH,,3,<operator>.concat,<operator>.concat,1,,,ANY
30064771153,CALL,1,,"""SELECT * FROM USERS WHERE ID = "" . $id",,STATIC_DISPATCH,,3,<operator>.concat,<operator>.concat,1,,,ANY
30064771154,CALL,1,,mysql_query($query),,STATIC_DISPATCH,mysql_query,4,mysql_query,mysql_query,1,,<unresolvedSignature>(1),ANY
30064771155,CALL,-1,,"$user_id = (int) $_COOKIE[""uid""]",,STATIC_DISPATCH,,7,<operator>.assignment,<operator>.assignment,8,,,ANY
30064771156,CALL,2,,"(int) $_COOKIE[""uid""]",,STATIC_DISPATCH,,7,<operator>.cast,<operator>.cast,2,,,int
30064771157,CALL,2,,"$_COOKIE[""uid""]",,STATIC_DISPATCH,,7,<operator>.indexAccess,<operator>.indexAccess,2,,,ANY
30064771158,CALL,-1,,"$username = $_POST[""username""]",,STATIC_DISPATCH,,8,<operator>.assignment,<operator>.assignment,9,,,ANY
