SELECT; "select PCMember.contactId, PaperConflict.conflictType, reviewType, reviewModified, reviewId from PCMember left join PaperConflict on (PaperConflict.contactId=PCMember.contactId and PaperConflict.paperId= paperId ) left join PaperReview on (PaperReview.contactId=PCMember.contactId and PaperReview.paperId= paperId ) $where"; PaperConflict; "pcmembercontactid, paperconflictconflicttype, reviewtype, reviewmodified, reviewid"; ""; true
INSERT; "insert into PaperConflict (paperId, contactId, conflictType) values ( paperId , contactId , CONFLICT_CHAIRMARK )"; PaperConflict; "paperid, contactid, conflicttype"; "paperId, contactId, CONFLICT_CHAIRMARK"; true
SELECT; "select reviewId, firstName, lastName, email, password from PaperReview join ContactInfo on (ContactInfo.contactId=PaperReview.requestedBy) where paperId= paperId and PaperReview.contactId= $reqId"; ContactInfo; "reviewid, firstname, lastname, email, password"; "paperId, $reqId"; false
SELECT; "select paperId, <conflict> from PaperConflict where paperId= paperId and contactId= $reqId union select paperId, reason from PaperReviewRefused where paperId= paperId and contactId= $reqId"; PaperConflict; "paperid, conflict"; "paperId, $reqId"; true
SELECT; "select firstName, lastName, ContactInfo.email, ContactInfo.contactId from ReviewRequest join ContactInfo on (ContactInfo.contactId=ReviewRequest.requestedBy) where paperId= paperId and ReviewRequest.email= sqlq($Them->email)"; ReviewRequest; "firstname, lastname, contactinfoemail, contactinfocontactid"; "paperId, sqlq($Them->email)"; false
INSERT; "insert into PaperReview (paperId, contactId, reviewType, requestedBy $qa ) values ( paperId , $reqId , REVIEW_EXTERNAL , contactId $qb )"; PaperReview; "paperid, contactid, reviewtype, requestedby, $qa"; "paperId, $reqId, REVIEW_EXTERNAL, contactId, $qb"; true
UPDATE; "update PaperReview set reviewNeedsSubmit=-1 where paperId= paperId and reviewType= REVIEW_SECONDARY and contactId= contactId and reviewSubmitted is null and reviewNeedsSubmit=1"; PaperReview; "reviewNeedsSubmit"; ""; true
INSERT; "insert into ReviewRequest (paperId, name, email, requestedBy, reason) values ( paperId , sqlq($name) , sqlq($email) , cid , sqlq(trim($_REQUEST[reason])) ) on duplicate key update paperId=paperId"; ReviewRequest; "paperid, name, email, requestedby, reason"; "paperId, sqlq($name), sqlq($email), cid, sqlq(trim($_REQUEST["reason"]))"; false
SELECT; "select reviewId from PaperReview where reviewToken= $token"; PaperReview; "reviewid"; "$token"; true
SELECT; "select contactId from ContactInfo where email= sqlq($contactemail)"; ContactInfo; "contactid"; "sqlq($contactemail)"; true
INSERT; "insert into ContactInfo (firstName, lastName, email, affiliation, password, creationTime) values (Jane Q., Public, sqlq($contactemail) , Unaffiliated, sqlq(Contact::random_password(20)) , $now )"; ContactInfo; "firstname, lastname, email, affiliation, password, creationtime"; "sqlq($contactemail), sqlq(Contact::random_password(20)), $now"; false
INSERT; "insert into PaperReview (paperId, contactId, reviewType, requestedBy, reviewToken $qa ) values ( paperId , $reqId , REVIEW_EXTERNAL , cid , $token $qb )"; PaperReview; "paperid, contactid, reviewtype, requestedby, reviewtoken, $qa"; "paperId, $reqId, REVIEW_EXTERNAL, cid, $token, $qb"; true
SELECT; "select requestedBy from ReviewRequest where paperId= paperId and email= sqlq($email)"; ReviewRequest; "requestedby"; "paperId, sqlq($email)"; true
INSERT; "insert into PaperReviewRefused (paperId, contactId, requestedBy, reason) values ( paperId , $reqId , contactId , request denied by chair)"; PaperReviewRefused; "paperid, contactid, requestedby, reason"; "paperId, $reqId, contactId"; false
SELECT; "select ContactInfo.contactId, firstName, lastName, email, $contactTags , PaperConflict.conflictType, PaperReview.reviewType, coalesce(preference, 0) as preference, coalesce(allReviews, ) as allReviews, coalesce(PaperTopics.topicInterestScore, 0) as topicInterestScore, coalesce(PRR.paperId, 0) as refused from ContactInfo join PCMember using (contactId) left join PaperConflict on (PaperConflict.contactId=ContactInfo.contactId and PaperConflict.paperId= paperId ) left join PaperReview on (PaperReview.contactId=ContactInfo.contactId and PaperReview.paperId= paperId ) left join PaperReviewPreference on (PaperReviewPreference.contactId=ContactInfo.contactId and PaperReviewPreference.paperId= paperId ) left join (select PaperReview.contactId, group_concat(reviewType separator ) as allReviews from PaperReview join Paper on (Paper.paperId=PaperReview.paperId and timeWithdrawn<=0) group by PaperReview.contactId) as AllReviews on (AllReviews.contactId=ContactInfo.contactId) left join (select contactId, sum(if(interest=2, 2, interest-1)) as topicInterestScore from PaperTopic join TopicInterest using (topicId) where paperId= paperId group by contactId) as PaperTopics on (PaperTopics.contactId=ContactInfo.contactId) left join PaperReviewRefused PRR on (PRR.paperId= paperId and PRR.contactId=ContactInfo.contactId) group by email"; PaperReviewPreference; "contactinfocontactid, firstname, lastname, email, contacttags, , paperconflictconflicttype, paperreviewreviewtype, preference, 0, allreviews, papertopicstopicinterestscore, topicinterestscore, prrpaperid"; "paperId"; true
SELECT; "select name, ReviewRequest.email, firstName as reqFirstName, lastName as reqLastName, ContactInfo.email as reqEmail, requestedBy, reason from ReviewRequest join ContactInfo on (ContactInfo.contactId=ReviewRequest.requestedBy) where ReviewRequest.paperId= paperId"; ReviewRequest; "name, reviewrequestemail, firstname, reqfirstname, lastname, reqlastname, contactinfoemail, reqemail, requestedby, reason"; "paperId"; false
INSERT; "insert into Settings (name, value, data) values (autoassign_badpairs, isset($_REQUEST[badpairs]) ? 1 : 0 , sqlq(join( , $x)) ) on duplicate key update data=values(data), value=values(value)"; Settings; "name, value, data"; "isset($_REQUEST["badpairs"]), 1, 0"; false
SELECT; "select PC.contactId, group_concat(R.reviewType separator ), group_concat(R.reviewType separator ) from PCMember PC left join PaperReview R on (R.contactId=PC.contactId) where R.paperId PaperSearch::sqlNumericSet($papersel) group by PC.contactId"; PaperReview; "pccontactid, grouprreviewtype, separator, "; "PaperSearch::sqlNumericSet($papersel)"; true
SELECT; "select p.paperId, p.managerContactId from Paper p join PaperConflict c on (c.paperId=p.paperId) where c.conflictType!=0 and c.contactId= cid"; PaperConflict; "ppaperid, pmanagercontactid"; "cid"; true
SELECT; "select paperId, 0 from PaperConflict where conflictType!=0 and contactId= cid"; PaperConflict; "paperid, 0"; "cid"; true
SELECT; "select paperId, contactId from PaperReview where reviewType= $reviewtype"; PaperReview; "paperid, contactid"; "$reviewtype"; true
SELECT; "select paperId, contactId from PaperConflict where conflictType>0 and conflictType< CONFLICT_AUTHOR"; PaperConflict; "paperid, contactid"; ""; true
SELECT; "select paperId, $reviewtype ContactId from Paper where $reviewtype ContactId!=0"; Paper; "paperid, reviewtype, contactid"; "$reviewtype"; true
SELECT; "select PCMember.contactId, count(reviewId) from PCMember left join PaperReview on (PaperReview.contactId=PCMember.contactId and PaperReview.reviewType= $reviewtype ) group by PCMember.contactId"; PaperReview; "pcmembercontactid, reviewid"; ""; true
SELECT; "select PCMember.contactId, count(paperId) from PCMember left join Paper on (Paper. $atype ContactId=PCMember.contactId) where not (paperId in ( join(, , $papersel) )) group by PCMember.contactId"; Paper; "pcmembercontactid, paperid"; "$papersel"; true
SELECT; "select Paper.paperId, PCMember.contactId, coalesce(PaperConflict.conflictType, 0) as conflictType, coalesce(PaperReviewPreference.preference, 0) as preference, coalesce(PaperReview.reviewType, 0) as reviewType, coalesce(PaperReview.reviewSubmitted, 0) as reviewSubmitted, coalesce( $score , 0) as reviewScore, topicInterestScore, coalesce(PRR.contactId, 0) as refused from Paper join PCMember left join PaperConflict on (Paper.paperId=PaperConflict.paperId and PCMember.contactId=PaperConflict.contactId) left join PaperReviewPreference on (Paper.paperId=PaperReviewPreference.paperId and PCMember.contactId=PaperReviewPreference.contactId) left join PaperReview on (Paper.paperId=PaperReview.paperId and PCMember.contactId=PaperReview.contactId) left join (select paperId, PCMember.contactId, sum(if(interest=2, 2, interest-1)) as topicInterestScore from PaperTopic join PCMember join TopicInterest on (TopicInterest.topicId=PaperTopic.topicId) group by paperId, PCMember.contactId) as PaperTopics on (Paper.paperId=PaperTopics.paperId and PCMember.contactId=PaperTopics.contactId) left join PaperReviewRefused PRR on (Paper.paperId=PRR.paperId and PCMember.contactId=PRR.contactId) group by Paper.paperId, PCMember.contactId"; PaperReviewPreference; "paperpaperid, pcmembercontactid, paperconflictconflicttype, 0, conflicttype, paperreviewpreferencepreference, preference, paperreviewreviewtype, reviewtype, paperreviewreviewsubmitted, reviewsubmitted, , score, reviewscore, topicinterestscore, prrcontactid"; ""; true
SELECT; "select paperId, count(reviewId) from PaperReview where reviewType= $reviewtype group by paperId"; PaperReview; "paperid, reviewid"; "$reviewtype"; true
SELECT; "select paperId from Paper where $atype ContactId=0"; Paper; "paperid"; "$atype"; true
INSERT; "insert into PaperConflict (paperId, contactId, conflictType) values substr($q, 2) on duplicate key update conflictType=greatest(conflictType, CONFLICT_CHAIRMARK )"; PaperConflict; "paperid, contactid, conflicttype"; "substr($q,2), CONFLICT_CHAIRMARK"; true
SELECT; "select PCMember.contactId, paperId, reviewId, reviewType, reviewModified from PCMember join PaperReview using (contactId) where reviewType= $reviewtype"; PaperReview; "pcmembercontactid, paperid, reviewid, reviewtype, reviewmodified"; "$reviewtype"; true
UPDATE; "update Paper set $reviewtype ContactId=0 where paperId= $pid and $reviewtype ContactId= $pc"; Paper; "leadContactId"; "$reviewtype, "ContactId=""; true
UPDATE; "update Paper set $atype ContactId= key($pcs) where paperId= $pid"; Paper; "leadContactId"; "$atype, "ContactId=", key($pcs)"; true
SELECT; "select paperId, timeSubmitted, timeWithdrawn from Paper where paperId in ( $paperIds )"; Paper; "paperid, timesubmitted, timewithdrawn"; "$paperIds"; true
SELECT; "select paperId, contactId from PaperReview where paperId in ( $paperIds )"; PaperReview; "paperid, contactid"; "$paperIds"; true
