172,CALL,-1,,"$_GET[azione] == ""espandi""",,STATIC_DISPATCH,,19,<operator>.equals,<operator>.equals,1,,ANY
173,CALL,1,,$_GET[azione],,STATIC_DISPATCH,,19,<operator>.indexAccess,<operator>.indexAccess,1,,ANY
174,CALL,2,,azione,,STATIC_DISPATCH,,19,<operator>.fieldAccess,<operator>.fieldAccess,2,,ANY
180,CALL,-1,,$roba[id] == $_GET[id],,STATIC_DISPATCH,,21,<operator>.equals,<operator>.equals,1,,ANY
181,CALL,1,,$roba[id],,STATIC_DISPATCH,,21,<operator>.indexAccess,<operator>.indexAccess,1,,ANY
182,CALL,2,,id,,STATIC_DISPATCH,,21,<operator>.fieldAccess,<operator>.fieldAccess,2,,ANY
185,CALL,2,,$_GET[id],,STATIC_DISPATCH,,21,<operator>.indexAccess,<operator>.indexAccess,2,,ANY
186,CALL,2,,id,,STATIC_DISPATCH,,21,<operator>.fieldAccess,<operator>.fieldAccess,2,,ANY
190,CALL,-1,,"echo ""<li><a href=\""forum.php\"">-</a> """,,STATIC_DISPATCH,,23,echo,echo,1,,ANY
192,CALL,-1,,echo encaps,,STATIC_DISPATCH,,24,echo,echo,2,,ANY
193,CALL,1,,encaps,,STATIC_DISPATCH,,24,encaps,encaps,1,,ANY
195,CALL,2,,"$roba[""id""]",,STATIC_DISPATCH,,24,<operator>.indexAccess,<operator>.indexAccess,2,,ANY
198,CALL,4,,"$roba[""titolo""]",,STATIC_DISPATCH,,24,<operator>.indexAccess,<operator>.indexAccess,4,,ANY
201,CALL,6,,"$roba[""postatoda""]",,STATIC_DISPATCH,,25,<operator>.indexAccess,<operator>.indexAccess,6,,ANY
204,CALL,-1,,"echo ""</li>\n""",,STATIC_DISPATCH,,26,echo,echo,3,,ANY
206,CALL,-1,,risposte($roba[id]),,STATIC_DISPATCH,,27,risposte,risposte,4,<unresolvedSignature>(1),ANY
207,CALL,1,,$roba[id],,STATIC_DISPATCH,,27,<operator>.indexAccess,<operator>.indexAccess,1,,ANY
208,CALL,2,,id,,STATIC_DISPATCH,,27,<operator>.fieldAccess,<operator>.fieldAccess,2,,ANY
213,CALL,-1,,$roba[id] != $_GET[id],,STATIC_DISPATCH,,29,<operator>.notEquals,<operator>.notEquals,1,,ANY
214,CALL,1,,$roba[id],,STATIC_DISPATCH,,29,<operator>.indexAccess,<operator>.indexAccess,1,,ANY
215,CALL,2,,id,,STATIC_DISPATCH,,29,<operator>.fieldAccess,<operator>.fieldAccess,2,,ANY
